agency_code_suffix,agency_name,status,note,source_standard
2221,中共中央纪律检查委员会,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2230,中央对外宣传办公室,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
2240,中央财经领导小组办公室,—,出自 GB/T4657—2021 表 B.6,GB/T 47277—2026 附录B表B.1
2241,中央财经委员会办公室,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2250,中央机构编制委员会办公室,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2260,中央外事工作领导小组办公室,—,出自 GB/T4657—2021 表 B.6,GB/T 47277—2026 附录B表B.1
2261,中央外事工作委员会办公室,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2310,中央对台工作领导小组办公室,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
2311,中央台湾工作办公室,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
2312,中共中央台湾工作办公室,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2330,中央直属机关工作委员会,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
2340,中央直属机关事务管理局,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
2350,中央国家机关工作委员会,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
2360,中央金融工作委员会,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
2370,中央企业工作委员会,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
2380,中央香港工作委员会,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2390,中央澳门工作委员会,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2400,中央精神文明办公室,—,出自 GB/T4657—2021 表 B.6,GB/T 47277—2026 附录B表B.1
2401,中央精神文明建设指导委员会办公室,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2410,中央档案馆,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2430,中央保密委员会办公室,—,出自 GB/T4657—2021表 B.14,GB/T 47277—2026 附录B表B.1
2431,中共中央保密委员会办公室,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2440,中央密码工作领导小组办公室,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2510,中央国家安全委员会办公室,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2520,中央网络安全和信息化委员会办公室,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2530,中央和国家机关工作委员会,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2550,中央军民融合发展委员会办公室,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2560,中央人民政府驻香港特别行政区维护国家安全公署,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2800,中央党校,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2820,人民日报社,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2830,中央党史研究室,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
2840,中央文献研究室,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
2850,中央编译局,—,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2860,求是杂志社,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2870,光明日报社,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2880,中国日报社,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2890,经济日报社,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2900,中国外文出版发行事业局,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2910,中央社会主义学院,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2920,中国浦东干部学院,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
