relative_path,byte_size,sha256,status,target_category,review_note
GBT47229.1-2026_法律法规电子文件第1部分页面格式_20260227_20260901 [ima-pdf_12dd-5db6571b].pdf,1400868,BDBF4526675A39BE701656D0690F8B40BD077DCF50175790E07F8469D0A852EF,REFERENCE_BASELINE,schema/standards_manifest.json,迁移自原intake
GBT47229.1-2026_法律法规电子文件第3部分数据接口_20260227_20260901 [ima-pdf_12dd-0993d3f7].pdf,378193,2BBEDB026EEED44627C72B3DEB732D6553A09BF0653E05BD8ED75CDC6CEA18AD,REFERENCE_BASELINE,schema/standards_manifest.json,PDF文件名误写为第1部分；按封面和正文识别为GB/T 47229.3—2026
GBT47229.2-2026_法律法规电子文件第2部分技术要求_20260227_20260901 [ima-pdf_12dd-61d2249c].pdf,1362084,75175502606DA1E898A4B6CA3942CFA3456BE04B5B05216E89DA6436C1BF628E,REFERENCE_BASELINE,schema/standards_manifest.json,迁移自原intake
GBT47277-2026_数字化法律法规库编码规则及数据元_20260331_20261001 [ima-pdf_12dd-fff81305].pdf,630061,373C8B6CFA0EDEE740E1FF8864F6495006C23A07E35C58F4F8EA7DD85D2D058F,REFERENCE_BASELINE,schema/standards_manifest.json,迁移自原intake
